,edge_run,ddG_mean,ddG_variance,ddG_standard_dev,num_run
299,edge_lig_4-99_lig_1583-1,-1.4200000000000017,0,0,1
300,edge_lig_4-99_lig_15853-1,-2.0,0,0,1
301,edge_lig_4-99_lig_15887-2,-0.4799999999999969,0,0,1
302,edge_lig_4-99_lig_15916-1,-0.490000000000002,0,0,1
303,edge_lig_4-99_lig_15968-1,-3.629999999999999,0,0,1
304,edge_lig_4-99_lig_15993-1,-0.8599999999999994,0,0,1
305,edge_lig_4-99_lig_16031-1,1.1999999999999993,0,0,1
306,edge_lig_4-99_lig_16031-2,-1.75,0,0,1
307,edge_lig_4-99_lig_16058-1,-4.449999999999996,0,0,1
308,edge_lig_4-99_lig_16146-1,-2.09,0,0,1
309,edge_lig_4-99_lig_16152-1,-3.9200000000000017,0,0,1
310,edge_lig_4-99_lig_16152-2,-3.9800000000000004,0,0,1
311,edge_lig_4-99_lig_16154-2,-2.219999999999999,0,0,1
312,edge_lig_4-99_lig_16160-3,-3.039999999999999,0,0,1
313,edge_lig_4-99_lig_16160-4,-3.650000000000002,0,0,1
314,edge_lig_4-99_lig_16161-1,-2.710000000000001,0,0,1
315,edge_lig_4-99_lig_16161-2,-0.19000000000000128,0,0,1
316,edge_lig_4-99_lig_16161-3,-2.039999999999999,0,0,1
317,edge_lig_4-99_lig_16161-4,-2.7300000000000004,0,0,1
318,edge_lig_4-99_lig_16171-1,-3.3900000000000006,0,0,1
319,edge_lig_4-99_lig_16172-1,-2.1999999999999993,0,0,1
320,edge_lig_4-99_lig_16172-2,-4.32,0,0,1
321,edge_lig_4-99_lig_16172-3,-3.039999999999999,0,0,1
322,edge_lig_4-99_lig_16172-4,-2.5700000000000003,0,0,1
323,edge_lig_4-99_lig_16174-1,-5.580000000000002,0,0,1
324,edge_lig_4-99_lig_16175-1,-2.6700000000000017,0,0,1
325,edge_lig_4-99_lig_16175-2,-2.799999999999999,0,0,1
326,edge_lig_4-99_lig_16185-1,-2.370000000000001,0,0,1
327,edge_lig_4-99_lig_16185-2,-4.710000000000001,0,0,1
328,edge_lig_4-99_lig_16189-1,-2.4499999999999993,0,0,1
329,edge_lig_4-99_lig_16189-2,-0.10999999999999943,0,0,1
330,edge_lig_4-99_lig_16190-1,-1.3500000000000014,0,0,1
331,edge_lig_4-99_lig_16194-1,-1.8200000000000003,0,0,1
332,edge_lig_4-99_lig_16194-2,-0.7800000000000011,0,0,1
333,edge_lig_4-99_lig_16222-1,-3.16,0,0,1
334,edge_lig_4-99_lig_16226-1,-2.75,0,0,1
335,edge_lig_4-99_lig_16249-2,-2.48,0,0,1
336,edge_lig_4-99_lig_16249-3,-4.96,0,0,1
337,edge_lig_4-99_lig_16250-1,-0.21000000000000085,0,0,1
338,edge_lig_4-99_lig_16250-2,-2.4499999999999993,0,0,1
339,edge_lig_4-99_lig_16250-3,-2.4699999999999998,0,0,1
340,edge_lig_4-99_lig_16250-4,-2.4400000000000004,0,0,1
341,edge_lig_4-99_lig_16251-1,-1.62,0,0,1
342,edge_lig_4-99_lig_16317-2,-3.75,0,0,1
343,edge_lig_4-99_lig_16360-1,-4.610000000000001,0,0,1
344,edge_lig_4-99_lig_16374-1,-0.7200000000000006,0,0,1
345,edge_lig_4-99_lig_16378-1,0.5400000000000009,0,0,1
346,edge_lig_4-99_lig_16378-2,-2.210000000000001,0,0,1
347,edge_lig_4-99_lig_16388-1,-2.9700000000000024,0,0,1
348,edge_lig_4-99_lig_16390-1,-1.8500000000000014,0,0,1
349,edge_lig_4-99_lig_16392-1,-2.610000000000003,0,0,1
350,edge_lig_4-99_lig_16392-2,-2.9700000000000024,0,0,1
351,edge_lig_4-99_lig_16395-1,-0.490000000000002,0,0,1
352,edge_lig_4-99_lig_16396-1,-3.8999999999999986,0,0,1
353,edge_lig_4-99_lig_16407-1,-2.1500000000000004,0,0,1
354,edge_lig_4-99_lig_16422-1,2.1499999999999986,0,0,1
355,edge_lig_4-99_lig_16428-1,-0.4400000000000013,0,0,1
356,edge_lig_4-99_lig_16428-2,-0.9299999999999997,0,0,1
357,edge_lig_4-99_lig_16457-1,-2.3900000000000006,0,0,1
358,edge_lig_4-99_lig_16459-1,-2.009999999999998,0,0,1
359,edge_lig_4-99_lig_16461-2,1.7699999999999996,0,0,1
360,edge_lig_4-99_lig_16483-1,-3.1400000000000006,0,0,1
361,edge_lig_4-99_lig_16506-1,-3.2300000000000004,0,0,1
362,edge_lig_4-99_lig_16530-1,0.8000000000000043,0,0,1
363,edge_lig_4-99_lig_16604-1,-2.3200000000000003,0,0,1
364,edge_lig_4-99_lig_16738-1,-2.919999999999998,0,0,1
365,edge_lig_4-99_lig_16778-1,-1.7799999999999976,0,0,1
366,edge_lig_4-99_lig_16778-2,-4.9,0,0,1
367,edge_lig_4-99_lig_16781-1,-0.8900000000000006,0,0,1
368,edge_lig_4-99_lig_16781-2,-2.23,0,0,1
369,edge_lig_4-99_lig_16781-3,-2.4399999999999995,0,0,1
370,edge_lig_4-99_lig_16787-1,-0.4399999999999995,0,0,1
371,edge_lig_4-99_lig_16787-2,-1.1399999999999988,0,0,1
372,edge_lig_4-99_lig_16813-2,-2.330000000000002,0,0,1
373,edge_lig_4-99_lig_16826-1,1.6099999999999994,0,0,1
374,edge_lig_4-99_lig_16849-1,0.8599999999999994,0,0,1
375,edge_lig_4-99_lig_16937-1,-2.0699999999999994,0,0,1
376,edge_lig_4-99_lig_16955-1,-1.3800000000000003,0,0,1
377,edge_lig_4-99_lig_1701-1,-3.8900000000000006,0,0,1
378,edge_lig_4-99_lig_1710-1,-5.859999999999999,0,0,1
379,edge_lig_4-99_lig_17157-2,-2.79,0,0,1
380,edge_lig_4-99_lig_17157-3,-4.41,0,0,1
381,edge_lig_4-99_lig_17157-4,-3.92,0,0,1
382,edge_lig_4-99_lig_17196-1,-0.5100000000000051,0,0,1
383,edge_lig_4-99_lig_172-1,-2.5700000000000003,0,0,1
384,edge_lig_4-99_lig_172-2,-3.1099999999999994,0,0,1
385,edge_lig_4-99_lig_17220-1,-2.6499999999999986,0,0,1
386,edge_lig_4-99_lig_17365-1,-2.370000000000001,0,0,1
387,edge_lig_4-99_lig_17443-1,-2.3999999999999986,0,0,1
388,edge_lig_4-99_lig_17446-1,-0.6099999999999999,0,0,1
389,edge_lig_4-99_lig_17532-1,-1.5600000000000023,0,0,1
390,edge_lig_4-99_lig_17645-1,-2.0,0,0,1
391,edge_lig_4-99_lig_17692-1,-1.26,0,0,1
392,edge_lig_4-99_lig_17698-1,-0.8000000000000007,0,0,1
393,edge_lig_4-99_lig_17698-2,-2.5799999999999983,0,0,1
394,edge_lig_4-99_lig_17731-2,-0.9099999999999966,0,0,1
395,edge_lig_4-99_lig_17731-3,1.740000000000002,0,0,1
396,edge_lig_4-99_lig_17771-1,-1.9099999999999966,0,0,1
397,edge_lig_4-99_lig_17782-1,-2.710000000000001,0,0,1
398,edge_lig_4-99_lig_17782-2,0.00999999999999801,0,0,1
399,edge_lig_4-99_lig_178-1,-0.6199999999999903,0,0,1
