,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,source_file
6311,edge_lig_3682-1_lig_1943-1_run1_water,-29.09,0.19,0.2,-29.45,0.28,0.19,42,41,default
2638,edge_lig_18910-2_lig_1943-1_run1_protein,29.52,0.8,0.75,25.72,0.98,8.64,80,75,default
2639,edge_lig_18910-2_lig_1943-1_run1_water,26.26,0.23,0.21,26.05,0.18,0.17,67,23,default
2862,edge_lig_1943-1_lig_3684-1_run1_protein,-26.79,0.59,0.63,-24.49,0.42,9.72,80,75,default
2863,edge_lig_1943-1_lig_3684-1_run1_water,-27.71,0.21,0.22,-27.63,0.2,0.14,51,65,default
4340,edge_lig_25922-1_lig_1943-1_run1_protein,17.79,0.71,0.7,16.79,0.53,4.3,77,79,default
4341,edge_lig_25922-1_lig_1943-1_run1_water,23.51,0.24,0.28,23.67,0.32,0.24,58,57,default
652,edge_lig_1943-1_lig_14384-1_run1_protein,-65.73,0.37,0.49,-65.09,0.53,0.38,80,80,05fs
653,edge_lig_1943-1_lig_14384-1_run1_water,-72.68,0.35,0.28,-72.99,0.24,0.14,80,80,05fs
684,edge_lig_12610-1_lig_1943-1_run1_protein,21.03,0.77,0.61,19.14,0.3,11.55,61,78,default
685,edge_lig_12610-1_lig_1943-1_run1_water,22.94,0.26,0.26,22.99,0.24,0.2,21,45,default
2844,edge_lig_1943-1_lig_10187-1_run1_protein,2.62,0.59,0.58,4.0,0.63,3.15,79,78,default
2845,edge_lig_1943-1_lig_10187-1_run1_water,2.07,0.38,0.29,2.04,0.27,0.29,47,18,default
8138,edge_lig_5693-1_lig_39208-1_run1_protein,-6.9,0.32,0.32,-7.0,0.23,0.8,80,80,default
8139,edge_lig_5693-1_lig_39208-1_run1_water,-7.97,0.16,0.13,-7.91,0.1,0.16,80,80,default
8134,edge_lig_5693-1_lig_35181-5_run1_protein,-29.41,0.81,0.83,-27.45,0.6,19.55,80,80,default
8135,edge_lig_5693-1_lig_35181-5_run1_water,-31.89,0.37,0.38,-32.01,0.62,0.62,80,79,default
6106,edge_lig_3568-1_lig_5693-1_run1_protein,22.48,0.43,0.33,23.69,0.35,0.23,27,44,default
6107,edge_lig_3568-1_lig_5693-1_run1_water,23.65,0.35,0.37,23.56,0.26,0.16,29,31,default
