# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_13,-10.50,0.00
lig_20709-3,lig_27557-2,-0.89,0,0.01
lig_20720-4,lig_20709-3,0.13,0,0.01
lig_20720-2,lig_20709-3,-0.64,0,0.01
lig_20709-3,lig_15551-1,2.11,0,0.01
lig_20709-3,lig_19279-1,2.58,0,0.01
lig_20709-3,lig_29891-1,0.29,0,0.01
lig_20709-3,lig_33862-1,-2.13,0,0.01
lig_13-99,lig_20709-3,1.85,0,0.01
lig_14066-1,lig_20709-1,1.87,0,0.01
lig_20709-1,lig_27573-1,3.36,0,0.01
lig_20709-1,lig_11351-1,0.45,0,0.01
lig_11471-1,lig_20709-1,2.47,0,0.01
lig_20709-1,lig_30931-1,1.19,0,0.01
lig_20709-1,lig_30813-1,-3.18,0,0.01
lig_20709-1,lig_25909-1,-0.33,0,0.01
lig_20709-1,lig_10634-1,3.20,0,0.01
lig_20709-1,lig_8432-1,0.14,0,0.01
lig_43882-1,lig_20709-1,1.37,0,0.01
lig_20709-1,lig_42850-1,1.34,0,0.01
lig_20709-1,lig_13-99,-4.09,0,0.01
lig_32453-1,lig_25923-1,1.38,0,0.01
lig_16199-1,lig_25923-1,0.21,0,0.01
lig_43074-1,lig_25923-1,0.49,0,0.01
lig_42020-1,lig_25923-1,-3.23,0,0.01
lig_32423-1,lig_25923-1,0.20,0,0.01
lig_25923-1,lig_20706-1,4.02,0,0.01
lig_10688-1,lig_25923-1,-1.33,0,0.01
lig_29835-1,lig_25923-1,-1.48,0,0.01
lig_10684-1,lig_25923-1,-2.24,0,0.01
lig_25923-1,lig_45217-1,1.76,0,0.01
lig_15551-1,lig_25923-1,-2.89,0,0.01
lig_2748-1,lig_25923-1,-0.10,0,0.01
lig_30781-1,lig_25923-1,-4.84,0,0.01
lig_25923-1,lig_42850-1,1.82,0,0.01
lig_41313-1,lig_25924-1,1.21,0,0.01
lig_41313-1,lig_32453-1,0.61,0,0.01
lig_41313-1,lig_36502-2,0.57,0,0.01
