ligand	DG(MLE)	uncertainty (kcal/mol)
lig_18148-2	0.54	0.0
lig_38113-1	1.62	0.0
lig_20699-1	2.72	0.0
lig_17754-1	3.0300000000000002	0.0
lig_15694-1	3.5100000000000002	0.01
lig_27168-4	3.8400000000000003	0.01
lig_35998-1	4.1000000000000005	0.0
lig_37888-1	3.64	0.01
lig_36078-2	1.77	0.01
lig_13696-1	5.24	0.01
lig_15335-1	3.25	0.01
lig_15847-1	3.8000000000000003	0.0
lig_38254-1	2.63	0.0
lig_8858-2	2.68	0.0
lig_7261-1	4.5200000000000005	0.0
lig_37891-1	2.58	0.01
lig_1373-1	2.24	0.0
lig_15482-1	5.85	0.01
lig_9413-1	4.34	0.0
lig_39834-1	4.42	0.01
lig_17693-1	4.37	0.01
lig_1536-1	4.640000000000001	0.01
lig_19260-2	4.77	0.01
lig_16598-3	4.8	0.01
lig_38256-1	4.87	0.01
lig_29853-2	2.1	0.01
lig_17916-2	4.63	0.01
lig_41138-3	0.54	0.01
lig_29867-2	10.99	0.01
lig_29535-4	2.5	0.01
lig_43645-1	4.3100000000000005	0.01
lig_17921-4	0.040000000000000036	0.01
lig_14128-1	-0.20999999999999996	0.01
lig_17921-3	1.27	0.0
lig_43864-1	1.82	0.01
lig_20798-3	4.51	0.0
lig_24186-2	1.7300000000000002	0.0
lig_3655-1	4.55	0.01
lig_24950-4	4.0	0.01
lig_28735-1	2.0700000000000003	0.01
lig_44916-2	4.41	0.01
lig_44666-1	-0.73	0.01
lig_30137-2	1.8	0.01
lig_1685-1	2.8000000000000003	0.01
lig_14128-2	2.31	0.01
lig_39-1	1.7400000000000002	0.01
lig_17916-4	0.8700000000000001	0.01
lig_13537-2	2.62	0.01
lig_2329-1	3.64	0.01
lig_1610-1	3.29	0.01
lig_10548-1	4.68	0.0
lig_24938-2	3.92	0.01
lig_44714-1	-6.709999999999999	0.01
lig_28186-1	0.8400000000000003	0.01
lig_16260-1	2.7800000000000002	0.01
lig_37238-1	4.94	0.0
lig_10842-1	-0.2999999999999998	0.0
lig_14122-1	3.81	0.0
lig_26765-1	2.56	0.01
lig_659-1	0.8700000000000001	0.0
lig_27608-2	0.6400000000000001	0.0
lig_27611-2	1.0100000000000002	0.0
lig_18145-2	2.49	0.0
lig_30367-1	7.960000000000001	0.01
lig_27612-4	4.47	0.01
lig_2560-1	2.5	0.0
lig_21286-2	1.81	0.0
lig_1709-1	3.99	0.0
lig_15511-1	3.98	0.0
lig_21286-4	1.7600000000000002	0.0
lig_23017-1	4.1000000000000005	0.01
lig_14069-1	1.02	0.01
lig_29643-1	1.85	0.0
lig_7511-1	4.67	0.01
lig_15511-2	2.52	0.01
lig_38557-1	5.95	0.01
lig_24546-1	2.92	0.0
lig_16836-1	4.21	0.01
