"Title","SMILES"
"667","*c1ccc(C#N)n1CC"
"668","*c1ccc(C#N)[nH]1"
"669","*OC(F)(F)F"
"674","*OCCCN(CC)CC"
"675","*OCCN(CC)CC"
"676","*c1ccc(N(C)C)cc1"
"677","*CN(CC)CC"
"678","*CN1CCNCC1"
"679","*CNCCc1ccccc1"
"680","*CNCCCCC"
"681","*CN1CCC(C)CC1"
"683","*CN1CCN(C)CC1"
"685","*CNCC(C)C"
"687","*CCc1ccccc1"
"688","*CC(=O)Nc1cccc(C)c1"
"691","*Cc1cccc(OC)c1"
"692","*Cc1ccccc1"
"693","*CNc1ccc(CC)cc1"
"695","*Cc1c(C)noc1C"
"696","*CNc1ccc(C)cc1"
"697","*CNc1cc(C)c(C)cc1C"
"699","*CN1CCOCC1"
"700","*CCOc1cccc(C)c1"
"701","*CCCc1ccccc1"
"702","*C1CCN(CCC)CC1"
"704","*Cc1cc2ccccc2s1"
"705","*Cc1cc(C)ccc1C"
"706","*S(C)(=O)=O"
"707","*C(CC)CC"
"708","*OCC1CC1"
"709","*Oc1cccc(N(C)C)c1"
"710","*C(=O)NCC1CCC1"
"711","*OCC(F)(F)F"
"713","*OCCOC"
"714","*C1CCC1"
"715","*C(=O)N1CCCC(C)C1"
"717","*C1CC1"
"718","*CS(=O)(=O)c1ccc(C)cc1"
"719","*C1(O)CC1"
"720","*Cn1nc(C(N)=O)cc1C"
"721","*Cn1nc(C(=O)NC(C)C)cc1C"
"722","*Cn1nc(C(=O)O)cc1C"
"724","*C1CCN(S(C)(=O)=O)C1"
"725","*Cc1c[nH]cn1"
"726","*CC(=O)N1CCC(CN)CC1"
"727","*CCNC(C)=O"
"728","*CC(=O)N1CCC(N)CC1"
"729","*CC(O)C(F)(F)F"
"730","*CCC(=O)NC1CCCCC1"
"731","*c1cc(C(N)=O)n(C)c1"
"732","*C(C)c1ccccc1"
"734","*n1cnnc1"
"737","*CC(COCC(C)C)N1CCCC1"
"738","*c1ccc(O)cc1"
"739","*CCC(=O)NC(C)(C)C"
"740","*C1CCN(C)C1"
"742","*CC1CNC1"
"743","*CC1CNCC1Cc1ccccc1"
"744","*Cc1cnc[nH]1"
"747","*CCC(=O)N1CCOCC1"
"750","*C1CC(=O)N(CC)C1"
"751","*C1CNC1"
"753","*C1CC(=O)N(C)C1"
"755","*c1nccnc1F"
"756","*c1ncc(C)o1"
"757","*c1nccn1C"
"758","*c1ccno1"
"759","*n1nccn1"
"760","*c1cnc(C)cn1"
"761","*C1CCCO1"
"762","*c1cc(C)no1"
"763","*c1cscn1"
"766","*c1ccc(C)cn1"
"768","*C(C)OC"
"769","*c1ncco1"
"770","*c1cncs1"
"771","*N1CCOCC1"
"774","*c1cnn(C)c1"
"775","*c1ncc(C)s1"
"776","*c1cncc(F)n1"
"777","*c1coc(C)n1"
"780","*COCCOC"
"781","*c1cnc(C)o1"
"782","*c1cncnc1"
"783","*c1cocn1"
"784","*c1cc[nH]n1"
"785","*c1nc(C)cs1"
"786","*c1ncc[nH]1"
"787","*c1ccncc1F"
"788","*c1cnc(C)s1"
"789","*c1cnccn1"
"790","*c1ncccc1F"
"792","*C1(F)COC1"
"794","*c1nccs1"
"795","*C1(F)CCC1"
"796","*c1ccc(OC)nc1"
